rps3	phylum_merge	A5-S03	A5-S04	KW1-S05	KW1-S08	KW1-S11	KW1-S15	KW1-S21
k141_1022994_6	unclassify	0.09321801	0.096941375	0.086313311	0.094878893	0.124019973	0.112058408	0.104468139
k141_1023328_1	Alphaproteobacteria	0.040002012	0.01459742	0.020240903	0.040828411	0.026915528	0.03550006	0.019036995
k141_10242166_7	Gammaproteobacteria	0.10528363	0.066870077	0.069611212	0.119323455	0.073480044	0.106592455	0.095795413
k141_10244015_2	Planctomycetes	0.013056648	0.00598523	0.015889792	0.008300054	0.009519854	0.016276812	0.003786848
k141_1025222_1	Chloroflexi	0.018509155	0.019640739	0.001601822	0	0	0.002241527	0
k141_10252350_2	Planctomycetes	0.020513893	0.016137213	0.019821886	0.017999713	0.019688084	0.020469036	0.025731941
k141_10255222_8	Gammaproteobacteria	0.005721586	0.003529332	0.012423843	0.004150683	0.02165637	0.033056414	0.018966249
k141_102773_6	Thaumarchaeota	0.366528387	0.737344459	0.651793819	0.467965693	0.448901382	0.58683975	0.607197361
k141_10278673_1	Gammaproteobacteria	0.035767508	0.009590257	0.016892746	0.014165028	0.011368019	0.025173532	0.020073498
k141_10292437_2	Chloroflexi	0.07568091	0.052250242	0.067292561	0.05095022	0.050154264	0.069720376	0.063997183
k141_1029805_1	Bacteroidetes	0.032674204	0.03092323	0.019130562	0.013090003	0.017544796	0.010568887	0.019836676
k141_10301383_1	unclassify	0.006470023	0.006105257	0.00910824	0.009182667	0.018783231	0.016252029	0.015511931
k141_10347015_4	Chloroflexi	0.01242252	0.004923853	0.008122782	0.00734894	0.00419401	0.012684027	0.024448998
k141_1034777_1	Planctomycetes	0.034988331	0.005981389	0.013308759	0.017755628	0.042470056	0.021935552	0.028312959
k141_10352321_1	Gemmatimonadetes	0.005775078	0.008494697	0.005639221	0.021517555	0.00790333	0.015676269	0.014451102
k141_10385147_4	Alphaproteobacteria	0.061811596	0.034878081	0.04123523	0.103339575	0.126807433	0.118606368	0.105618533
k141_1039726_1	Planctomycetes	0.02003164	0.00803653	0.012144953	0.019926205	0.022788987	0.017790482	0.017461331
k141_1039780_1	Gammaproteobacteria	0.227753653	0.097993852	0.176587148	0.101378595	0.060157733	0.087150638	0.098772502
k141_1040730_9	Nitrospirae	0.090919858	0.068684692	0.067785494	0.036978651	0.027356802	0.060264359	0.05544517
k141_10426531_2	Planctomycetes	0.004220274	0.005243005	0.000973448	0.013482239	0.009648454	0.011785049	0.004242795
k141_10464266_2	Planctomycetes	0.006132243	0.009039327	0.003911998	0.015109029	0.003877428	0.005565157	0.007257999
k141_10471329_12	Gemmatimonadetes	0.045531655	0.043990435	0.034151502	0.060788576	0.07114756	0.041244733	0.048545813
k141_10472939_6	Chloroflexi	0.011626902	0.016906224	0.010839911	0.019188247	0.024671794	0.022591192	0.017310925
k141_10474470_2	Chloroflexi	0.025371768	0.018797665	0.031469171	0.025615953	0.039155963	0.041316298	0.035774699
k141_1047690_1	Thaumarchaeota	0.392618681	0.804814475	0.768060682	0.464036274	0.470239746	0.478248296	0.492597013
k141_10479413_4	Chloroflexi	0	0.003602438	0.005592748	0.000995686	0.001278526	0.004194356	0.014815179
k141_10480715_1	unclassify	0.005157285	0.009571085	0.012337628	0.004761672	0.011209553	0.00585045	0.016501547
k141_10481651_3	Chloroflexi	0.019620626	0.02108971	0.015706642	0.009836492	0.012440241	0.001241451	0.02609475
k141_10484192_2	Gammaproteobacteria	0.230502201	0.172011465	0.182055987	0.204962524	0.174978763	0.171206609	0.145032979
k141_10489074_1	unclassify	0.004293048	0.000736018	0.001760595	0.010148409	0.002262085	0	0.004308236
k141_10501511_22	Alphaproteobacteria	0.027222658	0.036220468	0.03006697	0.020150718	0.030952871	0.032808164	0.039444782
k141_10509184_1	Gammaproteobacteria	0.012111877	0.012535828	0.002286908	0.009014779	0.012433835	0.020232888	0.013136181
k141_10516181_2	unclassify	0.030827166	0.039746207	0.036182837	0.035903194	0.035683465	0.044984616	0.050044145
k141_10516401_1	Planctomycetes	0.040971864	0.043481126	0.034479875	0.077412342	0.066911843	0.036992754	0.038894644
k141_10523762_1	Chloroflexi	0.029618777	0.019009054	0.009310141	0.017452794	0.009650059	0	0.023038192
k141_10533186_3	Planctomycetes	0.006224731	0.009631631	0.014457525	0.007239485	0.007164883	0.019446066	0.006394797
k141_10544201_1	unclassify	0.002053684	0.001524522	0.006550628	0.019160114	0.003779702	0.004954198	0.00810233
k141_10550010_1	Planctomycetes	0.043388742	0.02478018	0.031901615	0.02055751	0.03239124	0.033676947	0.039641016
k141_10561862_1	unclassify	0.017641256	0.015553692	0.010483581	0.008593386	0.00949857	0.006629139	0.018459917
k141_10595493_3	Gemmatimonadetes	0.020472304	0.009897989	0.014841007	0.023009568	0.015518901	0.019884642	0.035017246
k141_10603488_1	Gammaproteobacteria	0.007440606	0.012163827	0.007705607	0.011666408	0.017129851	0.035087013	0.014922664
k141_1060659_1	Chloroflexi	0.002532405	0	0.0020194	0.00943052	0.005926033	0.002462376	0.008046332
k141_10631692_4	Alphaproteobacteria	0.16719912	0.167797231	0.207334162	0.19501946	0.186867343	0.189644995	0.228804685
k141_1063463_2	Gammaproteobacteria	0.040408702	0.014360949	0.029536319	0.014880657	0.012013851	0.012410355	0.021332994
k141_10636432_2	Acidobacteria	0	0	0	0	0	0.01243397	0.001326645
k141_10644428_3	Planctomycetes	0.016190234	0.009757437	0.044283311	0.012856361	0.019508865	0.018548655	0.020492419
k141_10649884_7	unclassify	0.012652329	0.011512983	0.010637774	0.006499147	0.004444495	0.014867093	0.005371339
k141_10650061_3	Alphaproteobacteria	0.00844135	0.01320401	0.012885698	0.006049488	0.010007776	0.014266149	0.022241893
k141_10651201_3	unclassify	0.003287365	0.002440327	0.003201882	0.00325922	0	0.005327433	0.005241852
k141_10656500_22	Acidobacteria	0.02884111	0.036179201	0.031848433	0.031147105	0.035621796	0.052444261	0.044929981
k141_106583_3	Chloroflexi	0.010948312	0.016100457	0.001656183	0.00944188	0.015629873	0.01228038	0.006164998
k141_10659387_2	Planctomycetes	0.01041197	0.005032948	0.002162578	0.012698464	0.009859951	0.006303594	0.004458076
k141_10665943_1	Bacteroidetes	0	0.001442246	0	0.004937263	0.001535585	0	0.00255502
k141_10666210_1	Alphaproteobacteria	0.016437777	0.009840595	0.008456695	0.008299472	0.004190982	0.017701849	0.003486634
k141_10673870_4	unclassify	0.018985412	0.011448587	0.00917698	0.009044672	0.006613787	0.01553119	0.02241945
k141_10683030_2	Chloroflexi	0.008579409	0.003639312	0.007050858	0.027358079	0.005265631	0.005362819	0.005906139
k141_10698455_4	Planctomycetes	0.003641584	0.001178999	0.002487753	0.001215015	0.008087723	0.001426649	0.006191394
k141_10699526_4	Nitrospinae	0.008877331	0.010389877	0.005281667	0.016186917	0.007854769	0.006277707	0.007959871
k141_10719812_3	Gammaproteobacteria	0.022542859	0.020500992	0.021559382	0.021901294	0.011173262	0.009818358	0.020599391
k141_10728325_4	Chloroflexi	0	0.000204697	0	0.012465186	0	0.00733394	0.00314104
k141_1073990_1	Acidobacteria	0.019406376	0.008268807	0.014430118	0.015776612	0.011728438	0.036971184	0.020439694
k141_10764464_5	Planctomycetes	0.01983044	0.02638236	0.014009549	0.02397171	0.034113206	0.021710255	0.0308186
k141_1078592_1	Planctomycetes	0.007639807	0	0.000936321	0.019589089	0.002940823	0.004626159	0.006337045
k141_10808459_2	Chloroflexi	0.010802283	0.003280199	0.000880906	0.006857944	0.002619364	0.002705813	0.004602149
k141_10811490_3	Chloroflexi	0.008688918	0.02147847	0.016272603	0.035492205	0.003823038	0.021567154	0.022795393
k141_10817750_4	Planctomycetes	0.022538138	0.01146591	0.01595972	0.056832973	0.034638488	0.033953605	0.037330998
k141_108512_1	Planctomycetes	0.019724192	0.01628918	0.022357003	0.021860618	0.011543693	0.018562299	0.019546935
k141_10886026_2	Actinobacteria	0.024577916	0.03160816	0.015691555	0.034566664	0.015614043	0.019693708	0.028421775
k141_10913300_9	Gemmatimonadetes	0.128906282	0.124872114	0.143436883	0.131690187	0.117288721	0.172985158	0.127894881
k141_10941641_4	Planctomycetes	0.0112982	0.014866501	0.00975929	0.020982338	0.014052869	0.028108873	0.015825709
k141_1095717_1	Deltaproteobacteria	0.002058289	0.012922007	0.017339467	0.002479568	0	0	0.001353416
k141_1095717_2	Deltaproteobacteria	0.002058289	0.012922007	0.017339467	0.002479568	0	0	0.001353416
k141_1096703_7	Alphaproteobacteria	0.210699621	0.164457642	0.147955814	0.323661015	0.325794956	0.22747	0.25320089
k141_11016947_1	Actinobacteria	0.031442089	0.007907213	0.025699495	0.028793205	0.007258807	0.022170353	0.009340474
k141_1102140_5	Acidobacteria	0.150378252	0.192335189	0.161579162	0.156770561	0.16354339	0.209655456	0.175260584
k141_11026143_2	Alphaproteobacteria	0.012357649	0.013413928	0.007169495	0.019435298	0.005451694	0.011983227	0.008051078
k141_11028539_1	Bacteroidetes	0.009074585	0.011995108	0.011194207	0.019075304	0.015835717	0.009445625	0.007404141
k141_11032516_2	Zixibacteria	0.001531271	0.002646924	0.006087916	0.009970711	0.001210282	0.003977561	0
k141_11054799_25	Gammaproteobacteria	0.253866818	0.282258039	0.227281811	0.370924718	0.413222498	0.210454939	0.25744602
k141_1105627_6	Alphaproteobacteria	0.047201189	0.0106225	0.034431066	0.024931059	0.021469867	0.023328094	0.024827408
k141_1107162_4	Thaumarchaeota	0.055104853	0.04168101	0.089981087	0.050877791	0.036440808	0.043804241	0.058582033
k141_1109945_3	Gammaproteobacteria	0.049270616	0.059642022	0.06726317	0.053155156	0.070769363	0.042092003	0.039913636
k141_11102990_9	unclassify	0.026813687	0.02391766	0.022849711	0.041345281	0.026921788	0.035558798	0.028629414
k141_1111244_2	Chloroflexi	0.001967839	0.004382387	0.009415211	0.003633774	0	0.015899627	0.009436527
k141_11117888_1	Omnitrophica	0	0.00055727	0.003420713	0.008788856	0.000375375	0.004538534	0.000705168
k141_111391_1	Gemmatimonadetes	0.029860969	0.016664876	0.025867325	0.029518215	0.0182104	0.044387009	0.024986923
k141_1115722_5	Nitrospirae	0.142767089	0.159825712	0.123310555	0.154389933	0.138893014	0.126156976	0.154041138
k141_11168978_35	Gammaproteobacteria	0.042536638	0.058977695	0.047813152	0.058159915	0.04325389	0.032081612	0.056613699
k141_11171655_1	Alphaproteobacteria	0.085961834	0.060657789	0.048551934	0.130749634	0.140276125	0.133949466	0.108508769
k141_11179938_5	Planctomycetes	0.062990135	0.028365584	0.034005172	0.029722598	0.044633859	0.038115172	0.028257868
k141_11230153_4	Chloroflexi	0.01599733	0.036169089	0.038344568	0.017615337	0.021550467	0.035889696	0.028615357
k141_11296642_1	unclassify	0.001979223	0.004710561	0.005530003	0.010601696	0.004036217	0.004524759	0.006864778
k141_1130366_14	Chloroflexi	0.016747295	0.01291461	0.019468039	0.0264338	0.013438119	0.045147544	0.031423427
k141_1131983_1	Chloroflexi	0.009212871	0.007048396	0.006297055	0.032867324	0.001040235	0	0.000185445
k141_11324_4	Planctomycetes	0.01178808	0.005104578	0.007285076	0.022514831	0.008540611	0.012922159	0.005167457
k141_11344837_2	Gemmatimonadetes	0.025857322	0.017005918	0.028084271	0.012628629	0.007985765	0.011227818	0.020744476
k141_1136989_9	Gemmatimonadetes	0.066686837	0.070236807	0.06134725	0.096582145	0.138758588	0.095300078	0.106517872
k141_1137467_4	Gemmatimonadetes	0.004172712	0	0.003327421	0.005329466	0.012532466	0.0279569	0.012895594
k141_11452524_1	unclassify	0.008912589	0.019148965	0.011371381	0.036638243	0.033812681	0.026914526	0.030089085
k141_11466419_6	unclassify	0.027790589	0.025886362	0.018647663	0.027253645	0.022046374	0.026121664	0.022612818
k141_11468736_4	Gammaproteobacteria	0.030571906	0.026654311	0.019723506	0.030748659	0.023557266	0.019215374	0.027823878
k141_1147836_3	Planctomycetes	0.012524749	0.011536705	0.012118128	0.004585067	0.040292963	0.005717001	0.009831347
k141_11502276_1	Acidobacteria	0.017359727	0.019376842	0.024063978	0.022129259	0.011943437	0.014436645	0.026496508
k141_11505509_2	Planctomycetes	0.010208243	0.019293318	0.018972243	0.016052609	0.012891713	0.024513004	0.020509483
k141_1150571_20	Actinobacteria	0.109448122	0.102462038	0.106730528	0.091501925	0.118900768	0.11830458	0.077407004
k141_1162116_2	Thaumarchaeota	0.047733955	0.041637602	0.09228676	0.066929024	0.046249709	0.079366037	0.066411691
k141_1163583_2	Planctomycetes	0.006653145	0.002199576	0.004113035	0	0.002320243	0.000311231	0.001262811
k141_1164748_4	Gammaproteobacteria	0.005875179	0.010880015	0.007822292	0.004346056	0.004444596	0.010044854	0.015156125
k141_1164840_4	Acidobacteria	0.00413512	0.003069645	0.013955255	0.005090557	0.01307322	0.002680515	0.013595126
k141_1171245_3	Planctomycetes	0.003601212	0.005941538	0.000572679	0.012108253	0.005758443	0.000944562	0.002874398
k141_1175141_6	Thaumarchaeota	0.055311389	0.10669141	0.100345812	0.064953054	0.070274282	0.087933518	0.081478652
k141_1175596_4	Gammaproteobacteria	0.017210435	0.006230265	0.027160379	0.011496427	0.006208981	0.010797803	0.011316624
k141_1176448_1	Alphaproteobacteria	0.024563413	0.007656868	0.023600121	0.026025942	0.026157565	0.032074791	0.030612338
k141_1176805_1	Gammaproteobacteria	0.00957697	0.015398872	0.008694669	0.00648553	0.01548831	0.015928818	0.012990465
k141_1204883_4	Alphaproteobacteria	0.013245787	0.004206551	0.01242648	0.014742919	0.008957578	0.006428272	0.009288564
k141_122376_3	Acidobacteria	0.068320903	0.059692095	0.060514462	0.068989002	0.080857697	0.076526258	0.068816179
k141_1231949_3	Gammaproteobacteria	0.034727493	0.009987525	0.014918318	0.008008758	0.00616375	0.013736593	0.008386107
k141_1232290_4	Poribacteria	0.073233577	0.062110723	0.067306797	0.087101576	0.120719974	0.069923968	0.071052538
k141_1243675_1	Bacteroidetes	0.000787947	0.000810781	0.001741898	0	0.002768574	0.001921715	0.039299399
k141_1248352_3	unclassify	0.055690036	0.007414927	0.00981802	0.011120863	0.000928032	0.003001636	0.003969062
k141_1251253_1	Thaumarchaeota	0.068088071	0.113755661	0.138340053	0.048143925	0.051388152	0.058984408	0.054716501
k141_1252529_2	other	0.002154922	0	0.003436773	0.006632064	0	0.017999899	0.002833913
k141_1252965_5	Chloroflexi	0.002624757	0.000807721	0.005327748	0.021091039	0.002112267	0.008661925	0.005271821
k141_1254259_3	Gammaproteobacteria	0.05538419	0.012755475	0.030658364	0.01110537	0.008817935	0.018919537	0.011298522
k141_1255133_1	Alphaproteobacteria	0.170802617	0.221308847	0.143636759	0.2081293	0.277609312	0.202821725	0.199054701
k141_1257054_2	other	0.00265355	0.008961883	0.013141963	0.003124928	0.018026429	0.006453983	0.019640117
k141_1265638_9	Betaproteobacteria	0.032526346	0.032714413	0.045313428	0.05869161	0.052979575	0.040361229	0.047718124
k141_1268825_3	Thaumarchaeota	0.076818754	0.067036386	0.118698278	0.068262894	0.043173733	0.064378364	0.071471617
k141_1273853_1	Acidobacteria	0.02498167	0.027340871	0.029166641	0.029235704	0.023046559	0.031402603	0.015762313
k141_1274229_7	Nitrospirae	0.046625815	0.048095762	0.042360523	0.040576199	0.065869006	0.070499464	0.04804296
k141_1274406_5	Bacteroidetes	0	0.000686611	0.054441031	0	0	0	0
k141_1274772_1	Alphaproteobacteria	0.018610423	0.02357592	0.025950081	0.009024609	0.027814084	0.02742486	0.024081478
k141_1276909_8	Gammaproteobacteria	0.481952786	0.310436256	0.332287293	0.23817719	0.210143998	0.318155269	0.300928457
k141_1278176_4	Alphaproteobacteria	0.031596881	0.030308515	0.024339932	0.030789896	0.037581415	0.026410462	0.034719701
k141_1279885_1	Chloroflexi	0	0	0	0.007487229	0.001502202	0.010190714	0.003579607
k141_1282774_5	Alphaproteobacteria	0.011547128	0.022501079	0.016988682	0.018479681	0.019165835	0.013377142	0.015944773
k141_1287565_2	unclassify	0.006903752	0.003002032	0.002971435	0.007352075	0.017260107	0.003932209	0.004710467
k141_1290892_3	Planctomycetes	0.001826859	0	0.001618068	0.001244961	0.003511791	0.024175157	0.002548347
k141_1290892_4	Planctomycetes	0.001826859	0	0.001618068	0.001244961	0.003511791	0.024175157	0.002548347
k141_1295965_1	Planctomycetes	0.001741028	0.024547709	0.008834877	0.001948454	0.005003888	0.002315806	0.001278612
k141_1309558_6	Gammaproteobacteria	0.057100587	0.025408769	0.032176163	0.020081354	0.012532466	0.026828576	0.02438404
k141_1312411_4	Chloroflexi	0.002973269	0	0.010728576	0.013549479	0.037130065	0.01290647	0.00977528
k141_1315193_14	unclassify	0.397962261	0.604222157	0.558537325	0.444440116	0.539449646	0.484762115	0.512668945
k141_1316478_6	Acidobacteria	0.040601859	0.040970578	0.032226288	0.109158778	0.12788502	0.097878433	0.077819331
k141_1319760_2	Planctomycetes	0.021270628	0.014574123	0.019484354	0.023076077	0.038650199	0.048090898	0.021239204
k141_1328756_1	Alphaproteobacteria	0.080569885	0.08567132	0.09016443	0.100841352	0.116604918	0.094656786	0.10013695
k141_1337998_1	Alphaproteobacteria	0.017946567	0.028124995	0.016249338	0.004936476	0.009663447	0.00772738	0.010719175
k141_133888_3	Chloroflexi	0.023498209	0.02089903	0.040343291	0.024097123	0.027121675	0.029362029	0.023573988
k141_1345960_7	Planctomycetes	0.030472097	0.025812404	0.023113215	0.034164317	0.03297376	0.03182542	0.024767779
k141_1351114_1	Alphaproteobacteria	0.018073406	0.024215189	0.020714352	0.022034212	0.017012361	0.021921104	0.019826101
k141_1355094_1	Thaumarchaeota	0.003118859	0.002882426	0.01126665	0.014509858	0.008315918	0.030926976	0.011530536
k141_1356145_14	Gammaproteobacteria	0.09683267	0.161446411	0.140569605	0.112296494	0.084934765	0.104750436	0.120481548
k141_135981_1	Alphaproteobacteria	0.017861716	0.027024624	0.012890875	0.023759767	0.015392198	0.030435959	0.037609473
k141_1363174_1	Alphaproteobacteria	0.018135879	0.028245923	0.017491819	0.007667114	0.026947034	0.022161668	0.033204963
k141_1365159_9	Gammaproteobacteria	0.057749103	0.009775185	0.023223697	0.008296821	0.010761841	0.005777603	0.011824848
k141_1366495_4	Gemmatimonadetes	0.035834037	0.029985258	0.033963481	0.023449951	0.034116989	0.04021683	0.039783472
k141_1372951_2	Alphaproteobacteria	0.01151859	0.037919005	0.028462193	0.01697304	0.011918005	0.012748359	0.016525056
k141_137904_1	Gemmatimonadetes	0.074427661	0.008835319	0.007074443	0.002863265	0.005868222	0.006168303	0.005180891
k141_1379260_1	Alphaproteobacteria	0.012816709	0.011377508	0.011132883	0.010899072	0.020917316	0.009198357	0.012505889
k141_1382525_1	Zixibacteria	0.005166961	0.024949772	0.02177851	0.006868159	0.000914004	0.00310217	0.009561552
k141_1385172_1	Gemmatimonadetes	0.011270679	0.028948507	0.027540297	0.011099852	0.004454044	0.014612016	0.017045233
k141_1391541_5	unclassify	0.01731652	0.007977423	0.004429959	0.006862945	0.0038561	0.006780608	0.009281909
k141_139398_1	unclassify	0	0.02221232	0.007991623	0.002467475	0.003507872	0	0.003407856
k141_1399912_1	Alphaproteobacteria	0.02261582	0.004578687	0.01100801	0.010802063	0.022436647	0.006406735	0.006633969
k141_1406094_2	Planctomycetes	0.03616139	0.012955537	0.009348228	0.012363003	0.011421423	0.011484514	0.01312496
k141_1409060_2	unclassify	0.004284699	0.007099738	0	0.005001542	0.006773058	0.005108573	0.00140869
k141_1412097_3	Chloroflexi	0.004143056	0.005279266	0.001820977	0.007705709	0.004512213	0.024466986	0.015197843
k141_141269_3	Planctomycetes	0.012258779	0.017136635	0.013938999	0.012432489	0.031058951	0.019938704	0.02665376
k141_1413816_1	unclassify	0.020573715	0.006207281	0.011071634	0.005028443	0.002662619	0.001091879	0.003560034
k141_1427507_1	Planctomycetes	0.007738645	0.017859762	0.024419456	0.003572509	0.007645562	0.026318355	0.008904879
k141_1427893_2	Alphaproteobacteria	0.012464746	0.013366611	0.003559334	0.00401482	0.014548411	0.009817874	0.013847996
k141_1428689_12	Chloroflexi	0.041182649	0.037368883	0.050756707	0.034728513	0.025394082	0.048169843	0.042477056
k141_1429129_1	Chloroflexi	0.010279919	0.003052458	0.011464724	0.011154599	0.003250006	0.033899529	0.008594225
k141_1431055_4	Alphaproteobacteria	0.049565833	0.006767241	0.018241103	0.029695482	0.025619636	0.015406591	0.01999519
k141_1434318_3	Chloroflexi	0.007706164	0.004290417	0.00921762	0.002651195	0.006090777	0.006244222	0.019047035
k141_1440703_9	Chloroflexi	0.027862005	0.00760181	0.024234302	0.036902816	0.01774482	0.019967325	0.021265043
k141_1441889_5	Chloroflexi	0.007225476	0.013616199	0.004971583	0.007115962	0.006808152	0.008899183	0.023388844
k141_1444004_8	Deltaproteobacteria	0.035853757	0.035437804	0.025609742	0.01184924	0.02258063	0.029343227	0.021971682
k141_1444466_4	Planctomycetes	0.024661509	0.018544751	0.035735018	0.037038635	0.028862744	0.050755157	0.025396875
k141_144526_4	Acidobacteria	0.047266136	0.038315049	0.029180392	0.115953849	0.109020455	0.072003115	0.091395912
k141_144930_2	Alphaproteobacteria	0.018575058	0.031187197	0.027367537	0.018239895	0.042201294	0.020770733	0.032026949
k141_1450243_1	Chloroflexi	0.014178065	0.007827265	0.022942177	0.003911496	0.00625037	0.0056511	0.011606955
k141_1452385_3	Chloroflexi	0.017739067	0.008661314	0.015324355	0.005589425	0.007010278	0.00813145	0.013059765
k141_1458466_3	Alphaproteobacteria	0.13009076	0.107881091	0.131104548	0.157188457	0.18088623	0.175597118	0.152003641
k141_1459379_1	Alphaproteobacteria	0.031226561	0.003993912	0.013833784	0.017470883	0.012612197	0.019875442	0.003648274
k141_1462910_1	Alphaproteobacteria	0.028343114	0.031129136	0.027698626	0.017985713	0.023196815	0.025595325	0.024490618
k141_1465010_6	Gammaproteobacteria	0.186898628	0.198186644	0.208437669	0.162138376	0.144359515	0.221161906	0.195084427
k141_1466512_1	Alphaproteobacteria	0.018505909	0.021733702	0.005256967	0.013629936	0.00993719	0.016872394	0.005418524
k141_1472770_2	Planctomycetes	0.004841047	0.015554366	0.002710748	0.004235242	0.00997027	0.00446027	0.006743435
k141_147913_4	Alphaproteobacteria	0.02760828	0.016968547	0.006815947	0.012566728	0.028595974	0.019661672	0.031843189
k141_1485504_1	Alphaproteobacteria	0.011736944	0.01244678	0.025219689	0.016907852	0.012549123	0.024843285	0.014146988
k141_149186_1	Alphaproteobacteria	0.034737469	0.02100824	0.022629646	0.028989601	0.031157419	0.022418135	0.035642644
k141_1494524_6	Alphaproteobacteria	0.022647884	0.029693402	0.015529176	0.034003288	0.029972489	0.03967703	0.031895528
k141_1499495_4	Gemmatimonadetes	0.039730626	0.024930429	0.017762469	0.02020338	0.018690372	0.01487444	0.018845455
k141_1502077_3	Planctomycetes	0.031465705	0.002934171	0.0129904	0.015762017	0.017773691	0.008967751	0.010702414
k141_1503253_1	Acidobacteria	0.036327971	0.031401724	0.04197745	0.034097861	0.022596933	0.040768444	0.033781584
k141_1512827_3	Gammaproteobacteria	0.040571821	0.019678266	0.031433003	0.038983579	0.025318372	0.061009755	0.036784273
k141_1514162_1	Planctomycetes	0.030961103	0.020685164	0.020809408	0.019057396	0.025589626	0.022686223	0.005089575
k141_1529004_6	Gammaproteobacteria	0.030705531	0.026763407	0.035387867	0.01301493	0.045465042	0.051721059	0.02627462
