rps3	phylum	phylum_merge	average	type
k141_1096703_7	Alphaproteobacteria	Alphaproteobacteria	0.236177134	low
k141_2823633_4	Alphaproteobacteria	Alphaproteobacteria	0.231334456	low
k141_1255133_1	Alphaproteobacteria	Alphaproteobacteria	0.203337609	low
k141_4995419_1	Alphaproteobacteria	Alphaproteobacteria	0.202464942	low
k141_3138802_4	Alphaproteobacteria	Alphaproteobacteria	0.201206395	low
k141_1793731_5	Alphaproteobacteria	Alphaproteobacteria	0.198324955	low
k141_7318124_6	Alphaproteobacteria	Alphaproteobacteria	0.194872934	low
k141_6801967_2	Alphaproteobacteria	Alphaproteobacteria	0.193818106	low
k141_10631692_4	Alphaproteobacteria	Alphaproteobacteria	0.191809571	low
k141_7693763_9	Alphaproteobacteria	Alphaproteobacteria	0.186034885	low
k141_6153197_2	Alphaproteobacteria	Alphaproteobacteria	0.168400321	low
k141_6871763_1	Alphaproteobacteria	Alphaproteobacteria	0.164564744	low
k141_6893764_4	Alphaproteobacteria	Alphaproteobacteria	0.159519291	low
k141_5809471_1	Alphaproteobacteria	Alphaproteobacteria	0.156563084	low
k141_6184979_6	Alphaproteobacteria	Alphaproteobacteria	0.15452174	low
k141_6268491_9	Alphaproteobacteria	Alphaproteobacteria	0.149052202	low
k141_1458466_3	Alphaproteobacteria	Alphaproteobacteria	0.147821692	low
k141_847019_4	Alphaproteobacteria	Alphaproteobacteria	0.147808245	low
k141_962834_4	Alphaproteobacteria	Alphaproteobacteria	0.145960691	low
k141_8860580_5	Alphaproteobacteria	Alphaproteobacteria	0.143700656	low
k141_4687130_6	Alphaproteobacteria	Alphaproteobacteria	0.13596968	low
k141_8029881_2	Alphaproteobacteria	Alphaproteobacteria	0.128298944	low
k141_2873197_1	Alphaproteobacteria	Alphaproteobacteria	0.1208103	low
k141_2607582_1	Alphaproteobacteria	Alphaproteobacteria	0.114984759	low
k141_8870439_1	Alphaproteobacteria	Alphaproteobacteria	0.109702051	low
k141_7956564_1	Alphaproteobacteria	Alphaproteobacteria	0.108554506	low
k141_97704_4	Alphaproteobacteria	Alphaproteobacteria	0.102058446	low
k141_11171655_1	Alphaproteobacteria	Alphaproteobacteria	0.101236507	low
k141_1328756_1	Alphaproteobacteria	Alphaproteobacteria	0.095520806	low
k141_2489928_4	Alphaproteobacteria	Alphaproteobacteria	0.095171127	low
k141_6578516_3	Alphaproteobacteria	Alphaproteobacteria	0.094501372	low
k141_5591527_4	Alphaproteobacteria	Alphaproteobacteria	0.092584827	low
k141_1984879_9	Alphaproteobacteria	Alphaproteobacteria	0.087429273	low
k141_2893066_1	Alphaproteobacteria	Alphaproteobacteria	0.086970606	low
k141_9646134_2	Alphaproteobacteria	Alphaproteobacteria	0.086895377	low
k141_9709097_1	Alphaproteobacteria	Alphaproteobacteria	0.086429741	low
k141_9744765_29	Alphaproteobacteria	Alphaproteobacteria	0.085343954	low
k141_10385147_4	Alphaproteobacteria	Alphaproteobacteria	0.084613831	low
k141_4094200_3	Alphaproteobacteria	Alphaproteobacteria	0.084321643	low
k141_8469657_2	Alphaproteobacteria	Alphaproteobacteria	0.081646856	low
k141_811093_9	Alphaproteobacteria	Alphaproteobacteria	0.078443569	low
k141_4963687_4	Alphaproteobacteria	Alphaproteobacteria	0.069928456	low
k141_7656546_5	Alphaproteobacteria	Alphaproteobacteria	0.069422981	low
k141_6702416_1	Alphaproteobacteria	Alphaproteobacteria	0.068912183	low
k141_7607919_9	Alphaproteobacteria	Alphaproteobacteria	0.067736185	low
k141_5083515_1	Alphaproteobacteria	Alphaproteobacteria	0.067433166	low
k141_560603_4	Alphaproteobacteria	Alphaproteobacteria	0.064744016	low
k141_7079207_46	Alphaproteobacteria	Alphaproteobacteria	0.063666304	low
k141_8933528_4	Alphaproteobacteria	Alphaproteobacteria	0.061851642	low
k141_3689495_4	Alphaproteobacteria	Alphaproteobacteria	0.057200112	low
k141_2062398_5	Alphaproteobacteria	Alphaproteobacteria	0.055355985	low
k141_10135961_26	Alphaproteobacteria	Alphaproteobacteria	0.053865896	low
k141_1799436_1	Alphaproteobacteria	Alphaproteobacteria	0.053726021	low
k141_1869893_2	Alphaproteobacteria	Alphaproteobacteria	0.051845311	low
k141_9651062_1	Alphaproteobacteria	Alphaproteobacteria	0.050833761	low
k141_2132522_3	Alphaproteobacteria	Alphaproteobacteria	0.050006965	low
k141_395743_8	Alphaproteobacteria	Alphaproteobacteria	0.049872558	low
k141_6449541_5	Alphaproteobacteria	Alphaproteobacteria	0.048955124	low
k141_7403811_3	Alphaproteobacteria	Alphaproteobacteria	0.048913381	low
k141_2712752_1	Alphaproteobacteria	Alphaproteobacteria	0.048801153	low
k141_68423_1	Alphaproteobacteria	Alphaproteobacteria	0.048232982	low
k141_6247059_9	Alphaproteobacteria	Alphaproteobacteria	0.048214746	low
k141_9035204_4	Alphaproteobacteria	Alphaproteobacteria	0.048023881	low
k141_7657262_2	Alphaproteobacteria	Alphaproteobacteria	0.04742071	low
k141_3062605_33	Alphaproteobacteria	Alphaproteobacteria	0.046996252	low
k141_5802941_1	Alphaproteobacteria	Alphaproteobacteria	0.046461089	low
k141_9914532_5	Alphaproteobacteria	Alphaproteobacteria	0.044629037	low
k141_4140208_7	Alphaproteobacteria	Alphaproteobacteria	0.044438386	low
k141_6980950_3	Alphaproteobacteria	Alphaproteobacteria	0.043851425	low
k141_4969144_2	Alphaproteobacteria	Alphaproteobacteria	0.043682102	low
k141_6674723_3	Alphaproteobacteria	Alphaproteobacteria	0.04301235	low
k141_6981110_4	Alphaproteobacteria	Alphaproteobacteria	0.042523504	low
k141_4261509_1	Alphaproteobacteria	Alphaproteobacteria	0.042002806	low
k141_8607178_1	Alphaproteobacteria	Alphaproteobacteria	0.04195801	low
k141_1807265_4	Alphaproteobacteria	Alphaproteobacteria	0.041877132	low
k141_4714321_6	Alphaproteobacteria	Alphaproteobacteria	0.041270528	low
k141_10200274_2	Alphaproteobacteria	Alphaproteobacteria	0.041104478	low
k141_2862956_1	Alphaproteobacteria	Alphaproteobacteria	0.041027062	low
k141_4562270_1	Alphaproteobacteria	Alphaproteobacteria	0.041002405	low
k141_9465623_23	Alphaproteobacteria	Alphaproteobacteria	0.0409649	low
k141_7050373_2	Alphaproteobacteria	Alphaproteobacteria	0.040521792	low
k141_4603128_14	Alphaproteobacteria	Alphaproteobacteria	0.039804047	low
k141_5566025_1	Alphaproteobacteria	Alphaproteobacteria	0.039439041	low
k141_3911113_5	Alphaproteobacteria	Alphaproteobacteria	0.038508697	low
k141_4917766_1	Alphaproteobacteria	Alphaproteobacteria	0.038065179	low
k141_797704_4	Alphaproteobacteria	Alphaproteobacteria	0.037508271	low
k141_3891725_1	Alphaproteobacteria	Alphaproteobacteria	0.037439961	low
k141_5899502_4	Alphaproteobacteria	Alphaproteobacteria	0.037238743	low
k141_9310368_7	Alphaproteobacteria	Alphaproteobacteria	0.037209723	low
k141_4938074_2	Alphaproteobacteria	Alphaproteobacteria	0.036911	low
k141_8289660_1	Alphaproteobacteria	Alphaproteobacteria	0.036007392	low
k141_4358960_1	Alphaproteobacteria	Alphaproteobacteria	0.035049548	low
k141_7562036_14	Alphaproteobacteria	Alphaproteobacteria	0.034804629	low
k141_5952986_1	Alphaproteobacteria	Alphaproteobacteria	0.034593903	low
k141_3065454_9	Alphaproteobacteria	Alphaproteobacteria	0.034490728	low
k141_4687453_5	Alphaproteobacteria	Alphaproteobacteria	0.034261952	low
k141_3259355_4	Alphaproteobacteria	Alphaproteobacteria	0.033759295	low
k141_2858755_3	Alphaproteobacteria	Alphaproteobacteria	0.033738387	low
k141_807504_2	Alphaproteobacteria	Alphaproteobacteria	0.033657919	low
k141_4089342_2	Alphaproteobacteria	Alphaproteobacteria	0.033312665	low
k141_7803682_4	Alphaproteobacteria	Alphaproteobacteria	0.033217051	low
k141_7255435_7	Alphaproteobacteria	Alphaproteobacteria	0.032677075	low
k141_6849907_1	Alphaproteobacteria	Alphaproteobacteria	0.032545309	low
k141_3099404_1	Alphaproteobacteria	Alphaproteobacteria	0.032195346	low
k141_6443081_9	Alphaproteobacteria	Alphaproteobacteria	0.032116335	low
k141_4478642_4	Alphaproteobacteria	Alphaproteobacteria	0.031496565	low
k141_566248_9	Alphaproteobacteria	Alphaproteobacteria	0.031436938	low
k141_7202078_5	Alphaproteobacteria	Alphaproteobacteria	0.031388138	low
k141_9413624_1	Alphaproteobacteria	Alphaproteobacteria	0.03114209	low
k141_2407772_2	Alphaproteobacteria	Alphaproteobacteria	0.031058447	low
k141_7609837_4	Alphaproteobacteria	Alphaproteobacteria	0.03098694	low
k141_10501511_22	Alphaproteobacteria	Alphaproteobacteria	0.030980947	low
k141_8584474_9	Alphaproteobacteria	Alphaproteobacteria	0.030821541	low
k141_1278176_4	Alphaproteobacteria	Alphaproteobacteria	0.030820972	low
k141_5560227_8	Alphaproteobacteria	Alphaproteobacteria	0.03077935	low
k141_7359771_2	Alphaproteobacteria	Alphaproteobacteria	0.030740399	low
k141_6402486_4	Alphaproteobacteria	Alphaproteobacteria	0.030608423	low
k141_3414063_2	Alphaproteobacteria	Alphaproteobacteria	0.030578025	low
k141_6850058_1	Alphaproteobacteria	Alphaproteobacteria	0.030521174	low
k141_4443643_7	Alphaproteobacteria	Alphaproteobacteria	0.030322099	low
k141_7791458_1	Alphaproteobacteria	Alphaproteobacteria	0.030281171	low
k141_3813455_3	Alphaproteobacteria	Alphaproteobacteria	0.02990804	low
k141_6497622_9	Alphaproteobacteria	Alphaproteobacteria	0.029821614	low
k141_9507504_1	Alphaproteobacteria	Alphaproteobacteria	0.029323313	low
k141_4344295_11	Alphaproteobacteria	Alphaproteobacteria	0.029169977	low
k141_1494524_6	Alphaproteobacteria	Alphaproteobacteria	0.029059828	low
k141_9452657_1	Alphaproteobacteria	Alphaproteobacteria	0.028993788	low
k141_1023328_1	Alphaproteobacteria	Alphaproteobacteria	0.02816019	low
k141_5854115_3	Alphaproteobacteria	Alphaproteobacteria	0.028115997	low
k141_8882529_6	Alphaproteobacteria	Alphaproteobacteria	0.028096458	low
k141_149186_1	Alphaproteobacteria	Alphaproteobacteria	0.028083308	low
k141_4438704_2	Alphaproteobacteria	Alphaproteobacteria	0.028026609	low
k141_206653_4	Alphaproteobacteria	Alphaproteobacteria	0.027930152	low
k141_8351714_9	Alphaproteobacteria	Alphaproteobacteria	0.027633814	low
k141_3249793_1	Alphaproteobacteria	Alphaproteobacteria	0.027270632	low
k141_5133696_2	Alphaproteobacteria	Alphaproteobacteria	0.027251446	low
k141_3351863_1	Alphaproteobacteria	Alphaproteobacteria	0.027248003	low
k141_2171531_1	Alphaproteobacteria	Alphaproteobacteria	0.027220592	low
k141_144930_2	Alphaproteobacteria	Alphaproteobacteria	0.027195523	low
k141_3270753_2	Alphaproteobacteria	Alphaproteobacteria	0.026844203	low
k141_1105627_6	Alphaproteobacteria	Alphaproteobacteria	0.026687312	low
k141_7898773_5	Alphaproteobacteria	Alphaproteobacteria	0.026417174	low
k141_1737655_4	Alphaproteobacteria	Alphaproteobacteria	0.026139894	low
k141_9001997_6	Alphaproteobacteria	Alphaproteobacteria	0.025834442	low
k141_6612718_1	Alphaproteobacteria	Alphaproteobacteria	0.025804797	low
k141_1462910_1	Alphaproteobacteria	Alphaproteobacteria	0.025491335	low
k141_5606170_4	Alphaproteobacteria	Alphaproteobacteria	0.025205567	low
k141_6256839_4	Alphaproteobacteria	Alphaproteobacteria	0.025033724	low
k141_6574327_2	Alphaproteobacteria	Alphaproteobacteria	0.024992954	low
k141_1176448_1	Alphaproteobacteria	Alphaproteobacteria	0.024384434	low
k141_9678883_4	Alphaproteobacteria	Alphaproteobacteria	0.023864988	low
k141_9917941_4	Alphaproteobacteria	Alphaproteobacteria	0.023846277	low
k141_481864_1	Alphaproteobacteria	Alphaproteobacteria	0.023713757	low
k141_2402310_15	Alphaproteobacteria	Alphaproteobacteria	0.023667263	low
k141_1431055_4	Alphaproteobacteria	Alphaproteobacteria	0.023613011	low
k141_135981_1	Alphaproteobacteria	Alphaproteobacteria	0.023567802	low
k141_7716780_9	Alphaproteobacteria	Alphaproteobacteria	0.023553662	low
k141_7086875_9	Alphaproteobacteria	Alphaproteobacteria	0.02350944	low
k141_2465858_6	Alphaproteobacteria	Alphaproteobacteria	0.023242024	low
k141_8274746_4	Alphaproteobacteria	Alphaproteobacteria	0.02273718	low
k141_2522707_2	Alphaproteobacteria	Alphaproteobacteria	0.022592542	low
k141_1274772_1	Alphaproteobacteria	Alphaproteobacteria	0.022354494	low
k141_5073361_1	Alphaproteobacteria	Alphaproteobacteria	0.022283323	low
k141_1975885_1	Alphaproteobacteria	Alphaproteobacteria	0.022037856	low
k141_1363174_1	Alphaproteobacteria	Alphaproteobacteria	0.0219792	low
k141_2194541_5	Alphaproteobacteria	Alphaproteobacteria	0.021955363	low
k141_9420746_2	Alphaproteobacteria	Alphaproteobacteria	0.021689809	low
k141_4038527_1	Alphaproteobacteria	Alphaproteobacteria	0.021667437	low
