Bins id,phylum,Abundance,cazy_num
KW1-S15_183,Acidobacteriota,0.102070713,9
KW1-S15_187,Myxococcota_A,0.32033485,22
KW1-S15_188,Tectomicrobia,0.83604275,7
KW1-S15_197,Acidobacteriota,0.464666561,10
KW1-S15_2,Bacteroidota,0.25881706,17
KW1-S15_200,Planctomycetota,0.198235249,19
KW1-S15_211,Planctomycetota,0.151857809,12
KW1-S15_215,Chloroflexota,0.125078511,3
KW1-S15_218,Nitrospirota,0.254122957,16
KW1-S15_227,Thermoproteota,0.207153977,1
KW1-S15_23,Proteobacteria,0.188993937,7
KW1-S15_234,Proteobacteria,0.228959717,10
KW1-S15_262,Nitrospirota,1.284998,4
KW1-S15_266,Desulfobacterota_D,0.43531638,7
KW1-S15_267,Myxococcota,0.183219153,8
KW1-S15_279,Acidobacteriota,0.258526741,11
KW1-S15_293,Proteobacteria,2.563677914,8
KW1-S15_306,KSB1,0.271841916,19
KW1-S15_31,Planctomycetota,0.283034669,11
KW1-S15_41,Myxococcota_A,0.21241194,10
KW1-S15_72,Proteobacteria,0.309811747,10
KW1-S15_75,Proteobacteria,0.266347046,6
KW1-S15_8,Proteobacteria,0.503847403,11
KW1-S15_96,Proteobacteria,0.211919719,13
KW1-S15_97,Planctomycetota,0.046552284,15
KW1-S15_98,Proteobacteria,0.307551094,9
KW1-S21_104,Planctomycetota,0.204372717,15
KW1-S21_115,Proteobacteria,0.395452669,11
KW1-S21_123,Gemmatimonadota,0.183671597,7
KW1-S21_138,Proteobacteria,0.538949973,12
KW1-S21_141,Proteobacteria,0.65511743,11
KW1-S21_144,SAR324,0.075586438,10
KW1-S21_160,Acidobacteriota,0.088854504,9
KW1-S21_168,Tectomicrobia,0.197764756,13
KW1-S21_174,Planctomycetota,0.300195743,8
KW1-S21_189,Proteobacteria,0.150738168,14
KW1-S21_193,Gemmatimonadota,0.630529146,12
KW1-S21_196,Acidobacteriota,0.480650736,11
KW1-S21_197,Chloroflexota,0.363851073,8
KW1-S21_231,Proteobacteria,0.225042987,14
KW1-S21_238,Proteobacteria,0.48662174,6
KW1-S21_242,Proteobacteria,0.231691679,11
KW1-S21_260,Proteobacteria,0.243632343,7
KW1-S21_27,Proteobacteria,0.145856161,7
KW1-S21_271,Desulfobacterota_D,0.400053411,7
KW1-S21_28,Proteobacteria,0.485937491,8
KW1-S21_32,Gemmatimonadota,0.352226454,12
KW1-S21_52,Bacteroidota,0.154834449,21
KW1-S21_6,Desulfobacterota_B,0.807535986,9
KW1-S21_73,Chloroflexota,0.110486527,5
KW1-S21_82,Proteobacteria,0.247573133,6
KW1-S21_85,Acidobacteriota,0.471338041,15
