bin	phylum	dsrK	soxXA	soxB	soxC	soxD	fccAB	sat	sir	dsrC/dsrMK	amo-pmo	aprAB	tsdA/tsdB	qmoABC	narGHI/napAB	norBC	dsrEFH/dsrL	nxrAB	URE	cysJI	nosZ	nirA	narB/nasAB	nirK/nirS	nirBD/nrfA	TtrAB	soxZY	nifH	dsrAB	sseA	hao	glpE	phsA	soeAC
A5-S04_112	Gemmatimonadota	0	0	0	2	0	0	2	0	0	0	4	0	0	0	0	0	0	0	1	0	0	2	2	1	1	0	0	0	0	0	3	0	0
KW1-S21_123	Gemmatimonadota	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	2	2	0	1	0	0	0	0	0	3	0	0
KW1-S15_2	Bacteroidota	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	5	0	0
KW1-S08_242	Bacteroidota	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	3	0	0
KW1-S15_211	Planctomycetota	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	1	5	0	0
KW1-S05_141	SAR324	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	1	4	1	0	2	0	1	0	2	0	9	0	0
KW1-S15_215	Chloroflexota	0	0	0	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0	0
A5-S03_23	SAR324	0	0	1	0	0	0	0	0	0	0	6	1	0	2	0	0	0	0	1	0	1	1	4	0	2	0	1	0	2	0	9	0	0
KW1-S15_218	Nitrospirota	0	1	0	2	1	0	0	0	0	0	3	1	0	3	0	0	0	0	2	0	2	0	1	3	0	0	0	0	1	0	10	0	0
KW1-S05_148	Desulfobacterota_D	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	1	1	3	1	0	0	0	1	0	4	0	0
KW1-S08_155	Proteobacteria	0	0	0	0	0	1	1	1	0	0	7	0	2	4	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	9	0	0
KW1-S05_53	Proteobacteria	0	1	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0
A5-S03_71	Methylomirabilota	0	0	0	0	0	0	1	1	0	0	2	1	0	2	0	0	0	0	1	0	2	1	3	6	1	0	0	0	4	0	6	0	0
A5-S04_18	Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	6	0	0
KW1-S05_58	Proteobacteria	1	0	0	0	1	2	1	0	2	0	1	2	0	1	1	5	0	3	0	0	0	1	1	1	0	0	0	3	0	0	8	0	0
KW1-S05_59	Actinobacteriota	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	2	0	0
KW1-S21_231	Proteobacteria	0	0	0	1	1	0	0	0	0	0	2	1	0	1	0	0	0	6	1	0	1	2	1	2	0	0	0	0	3	0	11	0	0
KW1-S08_46	Proteobacteria	0	1	1	1	2	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	2	1	3	0	3	0	0	0	0	10	0	0
KW1-S21_238	Proteobacteria	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	6	0	0
A5-S03_121	Planctomycetota	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	1	2	0	0	0	0	0	0	0	0
KW1-S15_112	Latescibacterota	1	0	2	0	0	0	1	0	3	0	1	1	0	2	0	0	0	3	0	0	0	2	0	5	0	0	0	0	0	0	6	0	0
KW1-S15_115	Krumholzibacteriota	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	2	1	2	0	0	0	1	0	3	0	0
KW1-S15_114	Planctomycetota	0	0	5	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	2	0	0	1	0	5	0	0	0	0	1	1	7	0	0
KW1-S15_117	SAR324	0	0	1	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	1	0	0	2	2	0	2	0	1	0	3	0	13	0	0
KW1-S08_251	Acidobacteriota	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	1	0	1	1	1	2	0	0	0	0	0	0	4	0	0
KW1-S21_138	Proteobacteria	0	0	1	1	2	0	0	1	0	0	4	0	0	0	0	0	0	0	3	0	0	2	3	1	1	0	0	0	1	0	5	0	0
KW1-S11_65	Bacteroidota	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	4	0	0
KW1-S15_267	Myxococcota	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	1	1	0	5	0	1	1	0	0	0	2	1	7	0	0
KW1-S15_266	Desulfobacterota_D	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	4	2	0	0	0	1	0	5	0	0
A5-S04_200	Proteobacteria	0	0	0	1	1	1	1	2	0	0	3	1	0	0	0	0	0	0	2	0	0	2	2	2	0	0	0	0	1	0	7	0	0
KW1-S15_262	Nitrospirota	0	0	2	0	0	0	0	0	0	0	3	1	0	4	0	0	1	0	1	0	1	1	0	2	0	0	0	0	0	0	7	0	0
A5-S04_30	Nitrospinota	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	7	0	0
KW1-S08_144	Planctomycetota	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	5	0	0
A5-S04_33	Proteobacteria	0	0	0	1	3	0	0	0	0	0	3	1	0	1	0	0	0	0	2	0	1	2	1	0	1	0	0	0	2	0	5	0	3
KW1-S15_197	Acidobacteriota	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	4	0	0
KW1-S05_45	Methylomirabilota	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	4	0	6	0	0
KW1-S05_43	Myxococcota_A	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	1	2	0	0	0	1	0	3	0	0
KW1-S08_222	Bacteroidota	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	3	0	0
KW1-S15_72	Proteobacteria	0	0	0	0	0	0	2	1	0	0	5	4	0	2	0	1	0	5	4	0	0	2	3	1	0	0	0	0	2	0	10	0	0
KW1-S15_183	Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	3	0	1
KW1-S15_75	Proteobacteria	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	7	0	0
KW1-S08_227	Planctomycetota	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	2	0	0
KW1-S11_157	Thermoproteota	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1
KW1-S11_156	Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	5	0	0
KW1-S21_115	Proteobacteria	0	0	0	1	3	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	1	2	2	3	0	0	0	0	3	0	7	0	2
KW1-S15_96	Proteobacteria	0	3	0	0	1	3	0	0	0	0	3	2	0	0	0	0	0	1	3	0	1	2	0	3	0	2	0	0	3	0	9	0	0
KW1-S21_141	Proteobacteria	0	0	1	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	3	0	2	2	7	1	1	0	0	0	2	0	8	0	3
KW1-S05_127	Desulfobacterota_B	0	0	0	0	0	0	1	0	0	0	3	0	3	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	1	1	5	0	1
KW1-S05_126	Planctomycetota	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
KW1-S05_124	SAR324	0	0	0	1	0	2	0	0	0	0	2	0	0	1	0	0	0	0	1	0	1	2	1	0	2	0	1	0	2	0	4	0	0
KW1-S11_163	Planctomycetota	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	3	1	0	0	0	0	0	3	0	0
A5-S04_95	Chloroflexota	0	0	1	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	4	0	0
KW1-S15_188	Tectomicrobia	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	5	0	0
KW1-S15_187	Myxococcota_A	0	0	0	0	0	1	2	0	0	0	4	0	0	1	0	0	0	0	3	0	1	5	0	2	2	0	0	0	0	0	7	0	0
KW1-S15_279	Acidobacteriota	0	0	0	1	0	0	1	0	0	0	3	0	0	1	0	0	0	0	1	0	2	1	0	2	0	0	0	0	0	0	7	0	0
A5-S04_75	Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	4	0	0
A5-S04_77	SAR324	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	1	2	2	0	2	0	1	0	2	0	10	0	0
KW1-S21_73	Chloroflexota	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	2	0	3	0	0
A5-S04_70	Bacteroidota	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0
KW1-S08_280	Myxococcota_A	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	2	0	0	4	0	2	1	0	0	0	1	1	5	0	0
KW1-S21_197	Chloroflexota	0	0	1	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	4	0	0
A5-S04_79	Proteobacteria	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	2	1	4	1	0	0	0	1	0	6	0	3
KW1-S08_24	Verrucomicrobiota	0	0	1	1	0	0	3	0	0	0	2	1	0	1	0	0	0	3	0	0	2	1	3	3	1	0	0	0	0	0	6	0	0
KW1-S11_179	Actinobacteriota	0	0	2	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	4	0	0
KW1-S11_146	Proteobacteria	0	3	0	0	0	2	1	0	0	0	3	1	0	2	0	3	0	0	2	0	1	2	1	2	0	1	0	0	3	0	12	0	0
A5-S03_18	Myxococcota_A	0	0	0	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	2	0	0	4	0	0	1	0	0	0	0	0	4	0	0
KW1-S11_145	Proteobacteria	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4	2	0	0	0	1	0	1	0	0	0	1	0	5	0	3
KW1-S08_28	Poribacteria	0	0	2	0	0	0	1	0	0	0	3	2	0	2	0	0	0	3	1	0	1	1	0	8	0	0	0	0	2	1	8	0	0
KW1-S21_52	Bacteroidota	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	5	0	0
KW1-S21_82	Proteobacteria	0	1	1	0	1	2	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	2	0	0	0	0	0	3	0	0
KW1-S21_85	Acidobacteriota	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0
KW1-S11_87	Gemmatimonadota	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	1	3	1	2	0	0	0	0	0	4	0	0
A5-S03_93	Acidobacteriota	0	0	0	4	4	0	1	0	0	0	2	4	0	2	0	0	0	0	0	0	1	0	1	5	1	0	0	0	1	0	4	0	0
A5-S03_100	Proteobacteria	0	0	0	0	2	0	0	1	0	0	3	0	0	1	0	0	0	0	2	0	0	2	3	1	1	0	0	0	2	0	4	0	0
A5-S04_85	Acidobacteriota	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0
A5-S03_104	Desulfobacterota_B	0	0	0	0	0	0	1	0	0	0	8	0	4	2	0	0	0	0	0	0	1	2	2	0	1	0	0	0	2	0	5	0	1
A5-S03_147	Actinobacteriota	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	5	0	0
KW1-S08_268	Tectomicrobia	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	4	0	5	0	0
KW1-S21_6	Desulfobacterota_B	0	0	0	0	0	0	1	0	0	0	6	0	4	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	5	0	1
KW1-S21_168	Tectomicrobia	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	4	1	0	0	1	3	4	1	0	0	0	3	0	14	1	0
